entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,type,exit_reason,entry_fee,exit_fee,entry_close_time,entry_quote_asset_volume,entry_number_of_trades,entry_taker_buy_base_asset_volume,entry_taker_buy_quote_asset_volume,entry_inserted_at,entry_rsi,exit_close_time,exit_quote_asset_volume,exit_number_of_trades,exit_taker_buy_base_asset_volume,exit_taker_buy_quote_asset_volume,exit_inserted_at,exit_rsi
2024-12-03 00:59:00+00:00,2024-12-03 02:15:00+00:00,95804.03,95729.8,0.0968271235550491,-25.73314720387267,-0.000774810829982788,long,signal,9.27642864988163,9.26924117250014,2024-12-03T00:59:59.999+00:00,1058405.0964598,1756,5.96503,571474.8261235,2025-05-03T07:45:15.653033+00:00,26.13280457853665,2024-12-03T02:15:59.999+00:00,3391286.3457517,2916,22.83517,2184075.6515118,2025-05-03T07:45:15.653033+00:00,74.99901501122581
2024-12-03 02:54:00+00:00,2024-12-03 03:37:00+00:00,96050.77,96203.39,0.09631047728901869,-3.8171848665497823,0.0015889513431281742,long,signal,9.250695502677758,9.265394407721608,2024-12-03T02:54:59.999+00:00,1057741.6629161,836,6.76634,649915.7494343,2025-05-03T07:45:15.653033+00:00,25.743323381458666,2024-12-03T03:37:59.999+00:00,873171.4173367,1497,5.90746,568071.1591795,2025-05-03T07:45:15.653033+00:00,77.20942160498713
2024-12-03 03:51:00+00:00,2024-12-03 04:16:00+00:00,96071.79,96115.99,0.09624967243569843,-14.243775349485086,0.0004600726186116824,long,signal,9.246878317811209,9.251132553332868,2024-12-03T03:51:59.999+00:00,819462.5302781,2425,3.88837,373509.9347733,2025-05-03T07:45:15.653033+00:00,28.12499999999818,2024-12-03T04:16:59.999+00:00,482401.9602947,1402,3.63766,349572.6543973,2025-05-03T07:45:15.653033+00:00,71.02798301239108
2024-12-03 04:35:00+00:00,2024-12-03 05:25:00+00:00,96108.31,96026.93,0.09606489326949692,-26.27521233818128,-0.0008467530018996761,long,signal,9.232634542461723,9.224816781447451,2024-12-03T04:35:59.999+00:00,533927.1791146,828,3.69396,354998.4844329,2025-05-03T07:45:15.653033+00:00,19.113987058231913,2024-12-03T05:25:59.999+00:00,1263741.92442,841,2.58763,248484.4090098,2025-05-03T07:45:16.23691+00:00,75.36287109848382
2024-12-03 06:48:00+00:00,2024-12-03 07:32:00+00:00,96025.18,95632.0,0.09587442929160395,-56.070930861010375,-0.004094551033385129,long,signal,9.206359330123542,9.168663422014669,2024-12-03T06:48:59.999+00:00,2414653.5113126,3296,9.39954,902502.0132776,2025-05-03T07:45:16.23691+00:00,27.579218272476865,2024-12-03T07:32:59.999+00:00,1886731.0729699,5129,12.43639,1189178.5985186,2025-05-03T07:45:16.23691+00:00,79.34519749488331
2024-12-03 07:38:00+00:00,2024-12-03 07:58:00+00:00,95322.01,95625.17,0.09599344788535756,10.771695488739343,0.003180377753259751,long,signal,9.150288399262532,9.179389772923457,2024-12-03T07:38:59.999+00:00,3625956.4316649,5352,12.04543,1149096.4919639,2025-05-03T07:45:16.23691+00:00,28.17731465664589,2024-12-03T07:58:59.999+00:00,1192437.4984312,1926,4.36056,416853.2089694,2025-05-03T07:45:16.23691+00:00,72.94979617319626
2024-12-03 08:22:00+00:00,2024-12-03 08:57:00+00:00,95495.94,95461.93,0.09593140917562853,-21.581484788340504,-0.0003561407950956796,long,signal,9.161060094751273,9.157797467525208,2024-12-03T08:22:59.999+00:00,1262442.1914962,2361,4.34124,414607.7892364,2025-05-03T07:45:16.23691+00:00,25.929664604362145,2024-12-03T08:57:59.999+00:00,847333.5512767,797,4.14454,395682.6812253,2025-05-03T07:45:16.23691+00:00,73.78952825297884
2024-12-03 09:12:00+00:00,2024-12-03 09:40:00+00:00,95365.0,95333.52,0.0958368228381789,-21.292883459688397,-0.00033010014156132673,long,signal,9.13947860996293,9.136461666779987,2024-12-03T09:12:59.999+00:00,364239.3546175,1096,1.18708,113213.5493454,2025-05-03T07:45:16.23691+00:00,28.262269741080786,2024-12-03T09:40:59.999+00:00,789333.1146672,1307,5.35875,510893.5491062,2025-05-03T07:45:16.23691+00:00,70.58513303272582
2024-12-03 09:52:00+00:00,2024-12-03 10:03:00+00:00,95160.89,95323.3,0.09581862597652506,-2.690030311203566,0.0017066885355948593,long,signal,9.118185726503244,9.133747629548091,2024-12-03T09:52:59.999+00:00,1086958.2402978,2100,1.73884,165508.7549124,2025-05-03T07:45:16.23691+00:00,26.423413988866415,2024-12-03T10:03:59.999+00:00,553880.7235008,2364,3.60843,343964.0360471,2025-05-03T07:45:16.23691+00:00,72.34922420352645
2024-12-03 10:50:00+00:00,2024-12-03 11:12:00+00:00,95114.7,94969.88,0.09583687585822212,-32.09620865780929,-0.0015225827343196417,long,signal,9.11549569619204,9.101616599830253,2024-12-03T10:50:59.999+00:00,4473316.5504425,7187,5.91344,562950.0811406,2025-05-03T07:45:16.23691+00:00,25.418017789533906,2024-12-03T11:12:59.999+00:00,796594.7052796,3791,4.40204,418058.0498399,2025-05-03T07:45:16.23691+00:00,72.72558542394725
